# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 1447660270
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.892405
# Diagonal elements of inverse mass matrix:
# 0.459111
-8.73563,0.773436,0.892405,2,3,0,0.0669347
-8.27218,1,0.892405,1,1,0,0.0820355
-7.7948,0.985104,0.892405,2,3,0,0.103135
-7.84483,0.988034,0.892405,3,7,0,0.45698
-6.87435,0.918844,0.892405,2,3,0,0.316038
-6.91923,0.989324,0.892405,1,1,0,0.327418
-7.29907,0.909642,0.892405,1,1,0,0.393582
-7.33086,0.991697,0.892405,1,1,0,0.397928
-8.38651,0.917546,0.892405,2,3,0,0.505664
-7.57122,1,0.892405,2,3,0,0.427745
-7.51325,1,0.892405,3,7,0,0.119868
-6.84439,0.980623,0.892405,2,3,0,0.197974
-6.79899,0.981645,0.892405,2,3,0,0.29125
-7.00385,0.951031,0.892405,2,3,0,0.34562
-7.17243,0.958387,0.892405,1,1,0,0.374987
-7.37475,0.948686,0.892405,1,1,0,0.403752
-7.01467,1,0.892405,1,1,0,0.347733
-6.85389,1,0.892405,2,3,0,0.310228
-6.82558,1,0.892405,1,1,0,0.301243
-6.78952,0.983481,0.892405,2,3,0,0.215193
-6.78952,0.854652,0.892405,2,3,0,0.215193
-6.76451,0.998172,0.892405,2,3,0,0.227769
-8.07329,0.733127,0.892405,2,3,0,0.0899718
-8.39119,0.973378,0.892405,1,1,0,0.0777511
-8.45875,0.99477,0.892405,1,1,0,0.0754546
-7.98637,1,0.892405,1,1,0,0.0937934
-7.87567,1,0.892405,1,1,0,0.099024
-7.84579,1,0.892405,1,1,0,0.100512
-6.76208,0.951041,0.892405,2,3,0,0.271341
-7.02282,0.920996,0.892405,2,3,0,0.16575
-6.74828,0.989741,0.892405,2,3,0,0.252865
-6.80544,0.971576,0.892405,2,3,0,0.209318
-7.03866,0.930831,0.892405,2,3,0,0.35228
-6.86865,1,0.892405,2,3,0,0.314466
-6.86486,1,0.892405,3,7,0,0.193051
-6.97095,0.904157,0.892405,2,3,0,0.173311
-7.06336,0.919098,0.892405,2,3,0,0.356787
-6.8187,1,0.892405,3,7,0,0.205077
-7.30329,0.93108,0.892405,2,3,0,0.135799
-6.96575,0.923198,0.892405,2,3,0,0.337834
-7.27614,0.924804,0.892405,1,1,0,0.390374
-6.75571,0.992802,0.892405,2,3,0,0.26571
